adult,belongs_to_collection,sequel,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,War,TV_Movie,Horror,Western,Foreign,Comedy,Documentary,Science_Fiction,Mystery,Fantasy,Crime,Action,Adventure,Drama,Thriller,Family,Animation,Romance,History,Music,vote_total
False,,0,4000000.0,"['Crime', 'Comedy']",,5,tt0113101,en,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,"['Miramax Films', 'A Band Apart']",['US'],12/9/1995,4300000.0,98,['en'],Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,False,6.5,539,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3503.5
False,Ace Ventura Collection,1,30000000.0,"['Crime', 'Comedy', 'Adventure']",,9273,tt0112281,en,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",8.205447999999999,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,"['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']",['US'],11/10/1995,212385533.0,90,['en'],Released,New animals. New adventures. Same hair.,Ace Ventura: When Nature Calls,False,6.1,1128,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6880.799999999999
False,,0,60000000.0,"['Action', 'Comedy', 'Crime']",,11517,tt0113845,en,Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",7.337905999999999,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,['Columbia Pictures'],['US'],11/21/1995,35431113.0,103,['en'],Released,"Get on, or GET OUT THE WAY!",Money Train,False,5.4,224,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1209.6000000000001
False,Chili Palmer Collection,1,30250000.0,"['Comedy', 'Thriller', 'Crime']",,8012,tt0113161,en,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",12.669608,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,"['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']",['US'],10/20/1995,115101622.0,105,['en'],Released,"The mob is tough, but it’s nothing like show business.",Get Shorty,False,6.4,305,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1952.0
False,,0,50000000.0,"['Action', 'Adventure', 'Crime', 'Thriller']",,9691,tt0112401,en,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",11.065939,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,"['Silver Pictures', 'Canal+', 'Warner Bros.', 'Dino De Laurentiis Company', 'Donner/Shuler-Donner Productions', 'Evansgideon/Lazar']","['FR', 'US']",10/6/1995,30303072.0,132,"['en', 'es', 'nl']",Released,"In the shadows of life, In the business of death, One man found a reason to live...",Assassins,False,6.0,394,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2364.0
False,,0,3600000.0,"['Drama', 'Romance']",http://www.mgm.com/title_title.do?title_star=LEAVINGL,451,tt0113627,en,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",10.332025,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,"['United Artists', 'Intial Productions']",['US'],10/27/1995,49800000.0,112,['en'],Released,I Love You... The Way You Are.,Leaving Las Vegas,False,7.1,365,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2591.5
False,,0,12000000.0,"['Comedy', 'Drama', 'Family']",,9263,tt0114011,en,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",8.681325,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,['New Line Cinema'],['US'],10/20/1995,27400000.0,100,['en'],Released,In every woman there is the girl she left behind.,Now and Then,False,6.6,91,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,600.6
False,,0,15000000.0,"['Drama', 'Crime']",,9909,tt0112792,en,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",9.481338000000001,/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,"['Hollywood Pictures', 'Via Rosa Productions', 'Don Simpson/Jerry Bruckheimer Films']",['US'],8/11/1995,180000000.0,99,['en'],Released,She broke the rules... and changed their lives.,Dangerous Minds,False,6.4,249,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1593.6000000000001
False,,0,29500000.0,"['Science Fiction', 'Thriller', 'Mystery']",,63,tt0114746,en,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12.297305,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,"['Universal Pictures', 'Atlas Entertainment', 'Classico']",['US'],12/29/1995,168840000.0,129,"['en', 'fr']",Released,The future is history.,Twelve Monkeys,False,7.4,2470,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,18278.0
False,Babe Collection,1,30000000.0,"['Fantasy', 'Drama', 'Comedy', 'Family']",,9598,tt0112431,en,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",14.404764000000002,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,"['Universal Pictures', 'Kennedy Miller Productions']","['AU', 'US']",7/18/1995,254134910.0,89,['en'],Released,A little pig goes a long way.,Babe,False,6.0,756,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4536.0
False,,0,11000000.0,['Drama'],,687,tt0112818,en,Dead Man Walking,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,6.891317,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,"['Havoc', 'PolyGram Filmed Entertainment', 'Working Title Films']","['US', 'GB']",12/29/1995,39363635.0,122,['en'],Released,,Dead Man Walking,False,7.3,350,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2555.0
False,Mortal Kombat Collection,1,18000000.0,"['Action', 'Fantasy']",,9312,tt0113855,en,Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",10.870138,/bdXWixjWVA7Y03PvW74xufrROiJ.jpg,"['New Line Cinema', 'Threshold Entertainment']",['US'],8/18/1995,122195920.0,101,['en'],Released,Nothing In This World Has Prepared You For This.,Mortal Kombat,False,5.4,452,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2440.8
False,,0,20000000.0,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",,577,tt0114681,en,To Die For,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",10.448481,/zCREx8trzejNieDLUsRuwLU0cS3.jpg,"['The Rank Organisation', 'Columbia Pictures Corporation']",['US'],5/20/1995,21284514.0,106,['en'],Released,All she wanted was a little attention.,To Die For,False,6.7,177,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1185.9
False,,0,10000000.0,"['Drama', 'Romance']",,11861,tt0113347,en,How To Make An American Quilt,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",4.485958,/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg,"['Universal Pictures', 'Amblin Entertainment']",['US'],10/6/1995,23574130.0,116,['en'],Released,There's beauty in the patterns of life.,How To Make An American Quilt,False,6.5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,247.0
False,,0,33000000.0,"['Crime', 'Mystery', 'Thriller']",http://www.sevenmovie.com/,807,tt0114369,en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",18.45743,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,"['New Line Cinema', 'Juno Pix', 'Cecchi Gori Pictures']",['US'],9/22/1995,327311859.0,127,['en'],Released,Seven deadly sins. Seven ways to die.,Se7en,False,8.1,5915,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,47911.5
False,Pocahontas Collection,1,55000000.0,"['Adventure', 'Animation', 'Drama', 'Family']",,10530,tt0114148,en,Pocahontas,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",13.280069000000001,/qk95miOV8wDABbO5gyCpCrvbVFu.jpg,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",['US'],6/14/1995,346079773.0,81,['en'],Released,An American legend comes to life.,Pocahontas,False,6.7,1509,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,10110.300000000001
False,,0,6000000.0,"['Drama', 'Crime', 'Thriller']",http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects,629,tt0114814,en,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",16.302466,/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,"['Blue Parrot Productions', 'Bad Hat Harry Productions']",['US'],7/19/1995,23341568.0,106,"['es', 'en', 'fr', 'hu']",Released,Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,False,8.1,3334,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,27005.399999999998
False,,0,15000000.0,"['Comedy', 'Romance']",,11448,tt0113819,en,Mighty Aphrodite,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",15.899134,/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg,"['Miramax Films', 'Magnolia Pictures']",['US'],9/13/1995,6700000.0,95,['en'],Released,,Mighty Aphrodite,False,6.7,145,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,971.5
False,,0,15000000.0,"['Comedy', 'Drama', 'Romance']",,9089,tt0113321,en,Home for the Holidays,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",8.416802,/97EKLaslQ4gzkvALtqGCDOmsGHk.jpg,"['Paramount Pictures', 'Egg Pictures', 'PolyGram Filmed Entertainment']",['US'],11/2/1995,17519169.0,103,"['en', 'es']",Released,We'll do it every year..until we get it right,Home for the Holidays,False,6.3,39,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,245.7
False,,0,15000000.0,"['Music', 'Drama', 'Family']",,2054,tt0113862,en,Mr. Holland's Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",7.137117,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,"['Hollywood Pictures', 'The Charlie Mopic Company', 'PolyGram Filmed Entertainment', 'Interscope Communications']",['US'],12/29/1995,106269971.0,137,['en'],Released,"Of All the Lives He Changed, the One That Changed the Most Was His Own.",Mr. Holland's Opus,False,6.9,115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,793.5
False,The Lawnmower Man Collection,1,15000000.0,"['Action', 'Science Fiction']",,11525,tt0116839,en,Lawnmower Man 2: Beyond Cyberspace,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",2.49535,/i0hBsWBLw64XRehFzCL44PaCs1y.jpg,['New Line Cinema'],['US'],1/12/1996,2409225.0,92,"['en', 'hu']",Released,"God made him simple. Science made him a god. Now, he wants revenge.",Lawnmower Man 2: Beyond Cyberspace,False,2.8,32,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,89.6
False,Friday Collection,1,3500000.0,['Comedy'],http://www.newline.com/properties/friday.html,10634,tt0113118,en,Friday,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",14.56965,/kkoGT4bnK5oGiNbzGGcXzrXMSxn.jpg,['New Line Cinema'],['US'],4/26/1995,28215918.0,91,['en'],Released,A lot can go down between thursday and saturday...,Friday,False,7.0,513,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3591.0
False,From Dusk Till Dawn Collection,1,19000000.0,"['Horror', 'Action', 'Thriller', 'Crime']",http://www.miramax.com/movie/from-dusk-till-dawn/,755,tt0116367,en,From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",15.339153,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,"['A Band Apart', 'Dimension Films', 'Los Hooligans Productions', 'Miramax']",['US'],1/19/1996,25836616.0,108,"['en', 'es']",Released,One night is all that stands between them and freedom. But it's going to be a hell of a night.,From Dusk Till Dawn,False,6.9,1644,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,11343.6
False,,0,50000000.0,"['Action', 'Thriller', 'Romance']",,11859,tt0113010,en,Fair Game,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",5.912223,/ew0LrIN5fpxdimrErEy9Yry3Nn2.jpg,"['Silver Pictures', 'Warner Bros.']",['US'],11/3/1995,11534477.0,91,"['en', 'es']",Released,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,Fair Game,False,4.1,54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,221.39999999999998
False,,0,15000000.0,"['Drama', 'Romance']",,20927,tt0115644,en,Bed of Roses,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",10.412194,/kTEpzjzyeYER1WuCm7Seul4Fatc.jpg,"['New Line Cinema', 'Juno Pix']",['US'],1/26/1996,19030691.0,87,['en'],Released,He gave her flowers. She gave him a chance.,Bed of Roses,False,5.1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,137.7
False,,0,15000000.0,"['Comedy', 'Family']",,36929,tt0115676,en,Big Bully,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",2.936443,/wtFekK9VKWujQW9R9c6sYbir6wm.jpg,"['Warner Bros.', 'Morgan Creek Productions']",['US'],1/26/1996,2042530.0,90,['en'],Released,A comedy for the kid in all of us.,Big Bully,False,3.9,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62.4
False,Screamers Collection,1,20000000.0,"['Horror', 'Science Fiction']",,9102,tt0114367,en,Screamers,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",12.758848,/aFEs7D7IQ2IehTsniRIojDkiDl6.jpg,"['The Movie Network (TMN)', 'Allegro Films', 'Fuji Eight Company Ltd.', 'Fries Film Group', 'Super Ecran', 'Triumph Films']","['CA', 'JP', 'US']",9/8/1995,5781885.0,108,['en'],Released,The last scream you hear will be your own.,Screamers,False,6.1,154,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,939.4
